city,layer,weighted_mean
娄底市,1,277.3687776146695
娄底市,2,276.97876601709135
娄底市,3,277.97458932278784
娄底市,4,279.54996012958134
娄底市,5,279.92637978547253
娄底市,6,280.2910806534276
娄底市,7,279.7086793260051
娄底市,8,277.4133377871354
娄底市,9,277.4725380591506
娄底市,10,277.3169926209696
岳阳市,1,47.436996912383584
岳阳市,2,47.40650513030519
岳阳市,3,47.59523591985626
岳阳市,4,47.7480566957007
岳阳市,5,47.84208538380682
岳阳市,6,47.89010697978435
岳阳市,7,48.0463251362313
岳阳市,8,47.5323773852528
岳阳市,9,47.44927163253201
岳阳市,10,47.66988245323505
常德市,1,212.21141119490832
常德市,2,212.15659300789818
常德市,3,213.27288952642897
常德市,4,214.84438629639536
常德市,5,214.64042700646357
常德市,6,214.61876238415368
常德市,7,214.63393015287892
常德市,8,212.8954354162781
常德市,9,212.95536351919134
常德市,10,213.14165572025973
张家界市,1,275.3780526514748
张家界市,2,275.9312408612692
张家界市,3,277.4312769745758
张家界市,4,279.0762425768131
张家界市,5,278.94407828944827
张家界市,6,278.9268545527911
张家界市,7,277.56985942041314
张家界市,8,276.734471071393
张家界市,9,276.65310954305886
张家界市,10,276.0058124766101
怀化市,1,273.75799521683246
怀化市,2,274.1335028747532
怀化市,3,275.59563205619975
怀化市,4,277.36789236983697
怀化市,5,277.44320355022415
怀化市,6,277.0924370298901
怀化市,7,274.96258593326354
怀化市,8,274.53330910191823
怀化市,9,274.64724328804095
怀化市,10,273.82434302958734
株洲市,1,89.94610077569898
株洲市,2,90.12879857515448
株洲市,3,90.31311640916493
株洲市,4,90.27186924377291
株洲市,5,90.2675228793859
株洲市,6,90.40373629656247
株洲市,7,91.03648593187731
株洲市,8,89.95870063704224
株洲市,9,89.69026502779809
株洲市,10,90.32301092216723
永州市,1,251.22236994303069
永州市,2,251.35602663911106
永州市,3,251.77680461046359
永州市,4,252.42921150344839
永州市,5,252.78540011305623
永州市,6,253.27087404819716
永州市,7,252.60802479931752
永州市,8,250.43373811312412
永州市,9,250.30560033179918
永州市,10,250.58264353151247
湘潭市,1,71.75554606131082
湘潭市,2,71.69491686049058
湘潭市,3,71.92318089457277
湘潭市,4,72.181739915098035
湘潭市,5,72.23848712552142
湘潭市,6,72.31200802578263
湘潭市,7,72.46683176299881
湘潭市,8,71.707540771105
湘潭市,9,71.6415703844049
湘潭市,10,71.93740308691629
湘西土家族苗族自治州,1,275.1083390746137
湘西土家族苗族自治州,2,276.076645403862
湘西土家族苗族自治州,3,277.5036345196179
湘西土家族苗族自治州,4,278.97184250186086
湘西土家族苗族自治州,5,279.0304908110168
湘西土家族苗族自治州,6,278.728790365468
湘西土家族苗族自治州,7,276.6008891618501
湘西土家族苗族自治州,8,276.45088017312935
湘西土家族苗族自治州,9,276.38033232405905
湘西土家族苗族自治州,10,276.09991115769157
益阳市,1,277.2439098086949
益阳市,2,277.011478259832
益阳市,3,278.23460964478386
益阳市,4,279.8806993536905
益阳市,5,279.9735251305919
益阳市,6,280.08724226883163
益阳市,7,280.42760283413355
益阳市,8,277.72159415817146
益阳市,9,277.6223152956938
益阳市,10,278.3496310774678
衡阳市,1,279.1306222846365
衡阳市,2,279.1927006479966
衡阳市,3,279.6341521071191
衡阳市,4,280.23363069470423
衡阳市,5,280.36505993475714
衡阳市,6,280.98829619228076
衡阳市,7,281.5424083616694
衡阳市,8,278.48612453573014
衡阳市,9,278.1625075572924
衡阳市,10,279.022908804497
邵阳市,1,276.9314931471737
邵阳市,2,276.8405539550912
邵阳市,3,277.81606290215274
邵阳市,4,279.15585298178894
邵阳市,5,279.72814110510774
邵阳市,6,280.1229812634719
邵阳市,7,278.78143421447186
邵阳市,8,276.99130020123243
邵阳市,9,276.9489427404289
邵阳市,10,276.5584114426218
郴州市,1,279.14545067315595
郴州市,2,279.80239635073434
郴州市,3,279.5471534300472
郴州市,4,279.3550186777067
郴州市,5,279.2670429394262
郴州市,6,280.6138112534013
郴州市,7,281.80023639032333
郴州市,8,278.484633771156
郴州市,9,277.66708339740904
郴州市,10,278.24651716838747
长沙市,1,37.14785380925695
长沙市,2,37.11869726799866
长沙市,3,37.258007824723926
长沙市,4,37.40618015561844
长沙市,5,37.44693025146289
长沙市,6,37.47860660721057
长沙市,7,37.57207198962217
长沙市,8,37.17418188598357
长沙市,9,37.13129407346366
长沙市,10,37.28810552000157
